length,fecundity,loglen,logfec
42,76476,1.62324929,4.883525165
62,260805,1.792391689,5.416315913
89,945141,1.949390007,5.975496603
81,900361,1.908485019,5.954416675
97,827863,1.986771734,5.917958473
68,281630,1.832508913,5.449678915
73,418232,1.86332286,5.621417259
94,1083918,1.973127854,6.034996428
42,75483,1.62324929,4.877849152
49,118440,1.69019608,5.073498399
88,555817,1.944482672,5.744931826
89,751239,1.949390007,5.875778126
90,634354,1.954242509,5.802331683
92,1272356,1.963787827,6.104608642
37,49191,1.568201724,4.691885651
38,28836,1.579783597,4.459935017
54,187103,1.73239376,5.272080751
43,24683,1.633468456,4.392397943
69,445456,1.838849091,5.648804813
93,659527,1.968482949,5.81923258
50,77560,1.698970004,4.8896378
53,138682,1.72427587,5.142020096
69,511147,1.838849091,5.708545816
77,596178,1.886490725,5.775375946
48,58176,1.681241237,4.764743857
50,93911,1.698970004,4.972716465
81,782150,1.908485019,5.89329005
42,45687,1.62324929,4.659792641
44,96484,1.643452676,4.9844553
68,166361,1.832508913,5.221051522
52,159936,1.716003344,5.20394623
64,218183,1.806179974,5.338820909
49,138437,1.69019608,5.141252179
56,210331,1.748188027,5.322903287
58,177025,1.763427994,5.248034603
78,503848,1.892094603,5.702299539
58,171650,1.763427994,5.234643808
83,577659,1.919078092,5.761671544
59,204299,1.770852012,5.310266241
64,322454,1.806179974,5.508467769
66,190705,1.819543936,5.28036208
43,59336,1.633468456,4.773318266
79,610510,1.897627091,5.785692782
77,444905,1.886490725,5.648267287
95,441900,1.977723605,5.645324002
82,489188,1.913813852,5.689475795
42,61197,1.62324929,4.786730133
42,49855,1.62324929,4.697708721
68,177714,1.832508913,5.249721642
50,73381,1.698970004,4.865583626
40,32093,1.602059991,4.506410316
44,139920,1.643452676,5.145879796
93,1097251,1.968482949,6.040305985
37,32557,1.568201724,4.51264438
72,341351,1.857332496,5.533201179
50,155195,1.698970004,5.190877725